index,account,page,postdate,tweet,link,comments,retweets,likes,views,replysource
14,"Diskusi dan Sharing Seputar Bayi","","unknown","Kenali Bedanya: Campak, Rubella, & Roseola! Sama-sama bikin ruam merah, tapi ternyata virus dan sifatnya beda banget, lho! Yuk, simak perbandingannya: 1. CAMPAK (Measles)• Virus: Paramyxovirus.• Khasnya: Paling ""galak"". Demam bisa sangat tinggi (40°C+).• Gejala: Batuk, pilek, mata merah (3M), dan ada bercak putih di mulut (Koplik's spots).• Ruam: Muncul dari batas rambut/belakang telinga saat demam lagi tinggi-tingginya. 2. RUBELLA (Campak Jerman)• Virus: Rubella virus.• Khasnya: Lebih ringan pada anak, tapi SANGAT BERBAHAYA untuk janin jika menular ke ibu hamil.• Gejala: Ada benjolan (kelenjar getah bening) di belakang telinga atau leher.• Ruam: Merah muda halus, muncul cepat dan biasanya hilang dalam 3 hari. 3. ROSEOLA (Exanthema Subitum)• Virus: Human Herpesvirus 6 & 7.• Khasnya: ""Si Kejutan"". Menyerang bayi/balita.• Gejala: Demam tinggi mendadak selama 3-5 hari, tapi anak biasanya tetap ceria dan aktif bermain.• Ruam: Ruam justru baru muncul SETELAH demam sembuh total. Mulainya dari dada/perut.Penting: Pastikan si kecil mendapatkan imunisasi rutin (MR/MMR) untuk perlindungan terbaik! Jika ragu dengan gejala yang muncul, segera konsultasikan ke dokter ya. Referensi Buku1. Buku Ajar Infeksi dan Pediatri Tropis - Ikatan Dokter Anak Indonesia (IDAI)2. ⁠The Infection Game - Dr. Jane Wilson-Howarth3. ⁠Pedoman Imunisasi di Indonesia - Ikatan Dokter Anak Indonesia (IDAI) Lihat Lebih Sedikit Kenali Bedanya: Campak, Rubella, & Roseola! Sama-sama bikin ruam merah, tapi ternyata virus dan sifatnya beda banget, lho! Yuk, simak perbandingannya: 1. CAMPAK (Measles) • Virus: Paramyxovirus. • Khasnya: Paling ""galak"". Demam bisa sangat tinggi (40°C+). • Gejala: Batuk, pilek, mata merah (3M), dan ada bercak putih di mulut (Koplik's spots). • Ruam: Muncul dari batas rambut/belakang telinga saat demam lagi tinggi-tingginya. 2. RUBELLA (Campak Jerman) • Virus: Rubella virus. • Khasnya: Lebih ringan pada anak, tapi SANGAT BERBAHAYA untuk janin jika menular ke ibu hamil. • Gejala","https://www.facebook.com/groups/759878459543655/",6,0,0,-1,"NaN"
15,"Diskusi dan Sharing Seputar Bayi","","unknown","Pagi sobat dumay selamat bersantap sahur bagi warga muslim di seluruh dunia yang sedang menjalankan ibadah puasa  YUK KITA PERBARUI INFORMASI TENTANG CAMPAK CACAR AIR RUBELA     Tiga penyakit ini sama-sama menyebabkan ruam pada kulit, tapi penyebab, gejala, dan tingkat bahayanya berbeda. Berikut perbedaan utama campak, cacar air, dan rubela:1. Campak (Measles)             Campak-Penyebab: Virus campak (measles virus).Gejala utama:-Demam tinggi-Batuk, pilek, mata merah-Bercak putih kecil di dalam mulut (bintik Koplik)-Ruam merah muncul dari wajah lalu menyebar ke seluruh tubuh-Ciri khas ruam:-Ruam merah menyatu-Tidak berisi cairan         Tingkat bahaya:-Cukup serius, bisa menyebabkan komplikasi seperti radang paru atau radang otak, terutama pada anak kecil.2. Cacar Air              Cacar Air-Penyebab: Virus varicella-zoster.-Gejala utama:-Demam ringan-Badan lemas-Gatal hebat-Muncul lepuhan berisi cairan          Ciri khas ruam:-Bintik merah → gelembung berisi cairan → mengering menjadi keropeng-Bisa muncul di wajah, badan, kulit kepala, sampai mulut         Tingkat bahaya:-Biasanya ringan pada anak, tapi bisa lebih berat pada orang dewasa atau orang dengan imun lemah.3. Rubela (Campak Jerman)             RubellaPenyebab: Virus rubella.        Gejala utama:-Demam ringan-Pembengkakan kelenjar di belakang telinga / leher-Kadang nyeri sendi            Ciri khas ruam:-Ruam merah muda-Mulai dari wajah lalu menyebar-Biasanya lebih ringan dan cepat hilang (±3 hari)            Tingkat bahaya: -Biasanya ringan, tetapi sangat berbahaya bagi ibu hamil karena bisa menyebabkan kelainan pada bayi. Ringkasnya:Penyakit Ciri Ruam Gejala Khas Tingkat BahayaCampak Ruam merah menyatu Demam tinggi, batuk, mata merah Bisa seriusCacar air Lepuhan berisi cairan, sangat gatal Bintik → gelembung → keropeng Umumnya ringanRubela Ruam merah muda ringan Kelenjar bengkak, demam ringan Bahaya pada ibu hamil Pencegahan utama untuk ketiganya adalah vaksin Vaksin MMR (campak, gondongan, rubela) dan va","https://www.facebook.com/groups/759878459543655/",6,0,0,-1,"NaN"
16,"Diskusi dan Sharing Seputar Bayi","","unknown","Bunda²mau nanya dong??obat campak apa ya? yang bagus","https://www.facebook.com/groups/759878459543655/",0,0,0,-1,"NaN"
17,"Diskusi dan Sharing Seputar Bayi","","unknown","Semoga bermanfaat perbedaan cacar, campak dan gabagen✓Cacar air, campak, dan gabagen (istilah lain campak) berbeda pada penyebab, jenis ruam, dan gejala awalnya.1.  Cacar (air) disebabkan virus Varicella zoster berupa bintil berair yang gatal. 2. Campak/gabagen disebabkan Paramyxovirus dengan ruam merah datar yang tidak gatal, diawali demam tinggi, batuk, dan mata merah. ## Berikut adalah tabel perbedaan mendetail antara cacar air dan campak (gabagen): a. Jenis penyakit= Cacar Air (Chickenpox)         -Penyebab = Virus Varicella zoster-Bentuk = Ruam Bintil merah berisi cairan (lenting/lepuh)-Gatal = Sangat gatal-Gejala Awal = Demam ringan, pusing, lemas-Penyebaran = Bintil menyebar dari dada/wajah ke seluruh tubuh, bisa ada di mulut -Durasi  = 5-10 hari (menjadi keropeng)-Penanganan = Antivirus, losion kalamin/antihistamin (untuk gatal)b. Jenis penyakit= Campak / Gabagen (Measles)- penyebab=  Paramyxovirus / Morbillivirus - Bentuk= Bercak merah datar (ruam makulopapular)- gatal= Umumnya tidak gatal, terasa panas - gejala awal= Demam tinggi, batuk, pilek, mata merah/meradang- penyebaran= Dimulai dari belakang telinga/wajah, turun ke badan, tangan, dan kaki -Durasi = 7-14 hari (ruam menetap lalu menghitam/mengelupas)- penanganan=  Pereda demam, vitamin A, istirahat, banyak minumPoin Penting:_Gabagen adalah sebutan lokal untuk campak (tampek) yang disebabkan virus, berbeda dengan cacar air._Keduanya menular, namun 1. campak lebih mudah menular melalui udara (batuk/bersin), sedangkan 2. cacar melalui kontak langsung dengan cairan bintil atau liur.Vaksinasi (MMR untuk campak, Varicella untuk cacar) adalah pencegahan terbaik. Lihat Lebih Sedikit Semoga bermanfaat perbedaan cacar, campak dan gabagen ✓Cacar air, campak, dan gabagen (istilah lain campak) berbeda pada penyebab, jenis ruam, dan gejala awalnya. 1.  Cacar (air) disebabkan virus Varicella zoster berupa bintil berair yang gatal. 2. Campak/gabagen disebabkan Paramyxovirus dengan ruam merah datar yang tidak gatal, d","https://www.facebook.com/groups/759878459543655/",4,0,0,-1,"NaN"
18,"Diskusi dan Sharing Seputar Bayi","","unknown","IMUNISASI YANG 12 BULAN(sesudah campak)Bikin demam nggak bun?IMUNISASI YANG 12 BULAN(sesudah campak)Bikin demam nggak bun?","https://www.facebook.com/groups/759878459543655/",0,0,0,-1,"NaN"
19,"Diskusi dan Sharing Seputar Bayi","","unknown","Sharing aja ya bunTolong jgn dibullyJdi bayi saya 7bulan kena campak, dr hari jumat masuk RS, hari senin baru ketahuan kalo bagiku kena campak akhirnya di isolasiDi ruang isolasi, ad 3 anak yg sakit cmpakYg 1nya itu dipasang oksigen, di kasih selang dr hidung buat num susuKrna sesak berat akhirnya mau dipindahkan k PICUSaya tnya bun, anknya sakit apa, mamanya diam ajaNeneknya jawab, ini kena campak ini sesak mkanya dipasang oksigenOwh,, saya jawab mang gk di imunisasiGk,, mamanya tkt demamJjur sy lihat anknya sedih bgttt,, lemess,, gk bisa nyusu Lihat Lebih Sedikit Sharing aja ya bun Tolong jgn dibully Jdi bayi saya 7bulan kena campak, dr hari jumat masuk RS, hari senin baru ketahuan kalo bagiku kena campak akhirnya di isolasi Di ruang isolasi, ad 3 anak yg sakit cmpak Yg 1nya itu dipasang oksigen, di kasih selang dr hidung buat num susu Krna sesak berat akhirnya mau dipindahkan k PICU Saya tnya bun, anknya sakit apa, mamanya diam aja Neneknya jawab, ini kena campak ini sesak mkanya dipasang oksigen Owh,, saya jawab mang gk di imunisasi Gk,, mamanya tkt demam Jjur sy lihat anknya sedih bgttt,, lemess,, gk bisa nyusu Lihat Lebih Sedikit","https://www.facebook.com/groups/759878459543655/",0,0,0,-1,"NaN"
20,"Diskusi dan Sharing Seputar Bayi","","unknown","Bun suntik campak itu harus banget apa enggak yaa,,bingungg saya soalnya kmaren2 banyak sliweran pro kontra nya","https://www.facebook.com/groups/759878459543655/",0,0,0,-1,"NaN"
21,"Diskusi dan Sharing Seputar Bayi","","unknown","izin bertanya bun,ankku kemarin demam ,lalu muncul kayak gini di badan,apa ini termasuk ciri-ciri nya kena campak yh izin bertanya bun, ankku kemarin demam ,lalu muncul kayak gini di badan,apa ini termasuk ciri-ciri nya kena campak yh","https://www.facebook.com/groups/759878459543655/",0,0,0,-1,"NaN"
22,"Diskusi dan Sharing Seputar Bayi","","unknown","bun mau tanya kalo DPT lanjutan sama campak lanjutan batas nya sampe umur berapa yah ?? apa cuma sampe 2 tahun saja ato bisa lebih bun ?? soalnya anakku kemarin pas 18 bulan ga di suntik krna masih sakit.. bun mau tanya kalo DPT lanjutan sama campak lanjutan batas nya sampe umur berapa yah ?? apa cuma sampe 2 tahun saja ato bisa lebih bun ?? soalnya anakku kemarin pas 18 bulan ga di suntik krna masih sakit..","https://www.facebook.com/groups/759878459543655/",0,0,0,-1,"NaN"
23,"Diskusi dan Sharing Seputar Bayi","","unknown","Apakah imunisasi campak bikin demam bun","https://www.facebook.com/groups/759878459543655/",0,0,0,-1,"NaN"
