index,account,postdate,tweet,link,comments,retweets,likes,views,replysource
1,"Diskusi dan Sharing Seputar Bayi  · Gabung","unknown","Ngerasa bersalah banget anakku yang pertama pas 9 bulan ga imunisasi campak . karna dlu anak nya kalo pas mau imunisasi pasti aja lagi sakit kalo ga batuk pilek akhirnya malah jadi mundur terus imunisasi nya . Dan sampai akhirnya aku abai sampe ga imunisasi yang campak 9 bulan itu karna udah kelewat berbulan bulan dari jadwal nya . Di beranda ku lagi banyak banget bersliweran penyakit campak yang fatal akibat nya kalo sebelumnya ga di vaksin campak . Malah makin bikin worry dan ngerasa bersalah banget banget ,Sekarang anak nya udah 3 tahun lebih , bunda bunda apakah masih bisa susulan kah kalo imunisasi campak ? Lihat Lebih Sedikit","https://www.facebook.com/groups/759878459543655/",0,0,57,-1,"NaN"
2,"Diskusi dan Sharing Seputar Bayi  · Gabung","unknown","Lagi rame nih ya bun“Campak lagi ramai dibicarakan. Tapi sebenarnya ini bukan penyakit ruam biasa.Campak adalah infeksi virus yang sangat mudah menular, terutama pada bayi dan anak-anak.Gejalanya biasanya dimulai dari demam tinggi, batuk, pilek, mata merah, lalu muncul ruam merah di kulit#campak #imunisasianak #vaksinMR #kesehatananak #edukasibayi #ibudanbayi #parentingindonesia #bidanedukasi #anakindonesia #infokesehatan #family Lihat Lebih Sedikit Lagi rame nih ya bun “Campak lagi ramai dibicarakan. Tapi sebenarnya ini bukan penyakit ruam biasa. Campak adalah infeksi virus yang sangat mudah menular, terutama pada bayi dan anak-anak. Gejalanya biasanya dimulai dari demam tinggi, batuk, pilek, mata merah, lalu muncul ruam merah di kulit #campak #imunisasianak #vaksinMR #kesehatananak #edukasibayi #ibudanbayi #parentingindonesia #bidanedukasi #anakindonesia #infokesehatan #family Lihat Lebih Sedikit","https://www.facebook.com/groups/759878459543655/",0,0,4,-1,"NaN"
