index,account,postdate,tweet,link,comments,retweets,likes,views,replysource,relevance_score,veto_reason,is_indonesian,has_topic_keyword,is_relevant,borderline
1370,elpicassohombre,2025-01-04T05:37:10.000Z,"selain tembak, apa solusi bunuh terus? kera ni haiwan bijak.",https://x.com/elpicassohombre/status/1875416158779900106,2,0,1,106,https://x.com/elpicassohombre/status/1875403707757769028,-0.029924482,,True,True,True,False
1371,chairmanGLC,2025-01-03T07:40:38.000Z,Ni resipi negeri mana ek. Kalau Nismilan kena tumis bahan dulu tanpa minyak barulah masuk segala yang lain.,https://x.com/chairmanGLC/status/1875084843618566629,34,132,412,223500,https://x.com/dyoguma/status/1875381390084305320,-0.06864351,,True,True,False,True
1372,Fathi_Fatty,2025-01-04T15:46:53.000Z,Ni betul,https://x.com/Fathi_Fatty/status/1875569600441807302,0,0,1,495,https://x.com/dyoguma/status/1875381390084305320,-0.06633161,,True,True,False,True
1373,Junesalman,2025-01-04T15:32:57.000Z,Tah…. Xpernah aku jumpa org masak lemak tumis dulu,https://x.com/Junesalman/status/1875566091063455858,0,0,0,671,https://x.com/dyoguma/status/1875381390084305320,-0.07071118,,True,True,False,True
1374,AqimNizar,2025-01-03T15:11:29.000Z,Steady,https://x.com/AqimNizar/status/1875198303341789577,1,1,8,8041,https://x.com/AqimNizar/status/1875199820387979587,-0.17444645,,True,True,False,True
1375,fie5foe,2025-01-03T15:54:10.000Z,dah tempah byr depo...... last buat tour jln jln KL.....,https://x.com/fie5foe/status/1875209044899856867,0,0,2,14,https://x.com/AqimNizar/status/1875199820387979587,-0.18782066,,False,True,False,False
1376,bandkaid,2025-01-03T05:05:47.000Z,KAK KMU KEREN BGT,https://x.com/bandkaid/status/1875045872326803559,1,0,0,56,https://x.com/sherinuull/status/1875043931836281235,0.07022646,,False,True,False,False
1377,sherinuull,2025-01-03T05:12:58.000Z,"puttt, kamu juga keren bu dokterr, semangat preklin nya yaaa",https://x.com/sherinuull/status/1875047679526629826,1,0,0,55,https://x.com/sherinuull/status/1875043931836281235,0.08070114,,True,True,True,False
1378,pembasmidhemit,2025-01-11T16:06:58.000Z,"ini yg klo ngaji salah satu isinya anti vaksin. katanya itu proyek dajjal, naro chip di manusia. hahaha... bego! https://x.com/PaijoKhentirr//PaijoKhentirr/status/1878053901381046334…",https://x.com/PaijoKhentirr/status/1878053901381046334,0,0,1,100,https://x.com/pembasmidhemit/status/1878111369025007718,0.013665244,,True,True,True,False
1379,MikoSand9,2025-01-08T04:58:16.000Z,Kawanku sekeluarga covid tapi gk lama sehat semua dan kakek ku kena covid tapi emang ada penyakit bawaan dan berakhir meninggal dunia jadi keknya penyebab meninggal waktu covid tuh sebenernya bukan covid tapi penyakit bawaan karna waktu jaman covid gw tetep kerja wfo masih aman,https://x.com/MikoSand9/status/1876855922112262412,2,0,2,645,https://x.com/MiraninonLita/status/1877243943978463610,0.08221045,,True,False,False,True
1380,MikoSand9,2025-01-08T05:38:16.000Z,"1.Kalo covid bener"" ada kenapa waktu perang russia tiba"" tuh virus hilang dari muka bumi ini 2.kalo beneran ada kenapa orang yg nemenin kakek gw di kamar 24jam waktu covid kagak ikut meninggal padahal dia kagak pake alat pelindung bahkan dia masih idup ampe sekarang",https://x.com/MikoSand9/status/1876865986961219723,2,1,3,240,https://x.com/MiraninonLita/status/1877243943978463610,0.11496207,,True,False,False,True
1381,MikoSand9,2025-01-08T07:38:55.000Z,"Asal lu tau aja ya bang/mbk atau siapapun elo,waktu jaman covid gw kerja di tempat yg manusianya bisa ampe ribuan dan buktinya gada tuh yg kena covid apalagi yg mau di buktiin",https://x.com/MikoSand9/status/1876896348424867889,1,2,3,194,https://x.com/MiraninonLita/status/1877243943978463610,0.11423743,,True,False,False,True
1382,MikoSand9,2025-01-08T07:42:51.000Z,Lah orang aneh,https://x.com/MikoSand9/status/1876897341627633804,1,0,0,90,https://x.com/MiraninonLita/status/1877243943978463610,0.15828818,,True,False,False,True
1383,StopPlandemit,2025-01-09T08:10:18.000Z,Sakit biasa penanganannya luar biasa,https://x.com/StopPlandemit/status/1877266636396249271,1,3,2,796,https://x.com/MiraninonLita/status/1877243943978463610,0.1737484,,True,False,False,True
1384,JulianaPutong,2025-01-09T08:55:15.000Z,"Dr awal pandemi jg kn cuma rekayasa, penyebab covid sebenarny pencemaran udara dr cam trail, yg skrg lgi merebak kabut tebal beracun di sebagian negara, menyebabkn ispa gangguan pernafasan, trus kalen percaya itu covid, bnyak yg mati  karna keracunan obat bkn krna covid itusendir",https://x.com/JulianaPutong/status/1877277946961920490,0,1,2,67,https://x.com/MiraninonLita/status/1877243943978463610,0.14440927,,True,False,False,True
1385,zakiberkata,2025-01-07T02:46:33.000Z,Tetap waspada Indonesia,https://x.com/zakiberkata/status/1876460383609008557,37,241,1363,127500,https://x.com/fakhrulroziii/status/1876886294275432694,0.032103628,,False,True,False,False
1386,dhonieaz,2025-01-07T04:14:45.000Z,"Jogja aja yang 5,9 kaya gitu rasanya.  Lah ini di atas 7",https://x.com/dhonieaz/status/1876482579832119678,1,0,15,14900,https://x.com/fakhrulroziii/status/1876886294275432694,-0.07493234,,True,True,False,True
