index,account,postdate,tweet,link,comments,retweets,likes,views,replysource,relevance_score,veto_reason,is_indonesian,has_topic_keyword,is_relevant,borderline
1,milIkk4ng,2024-06-13T15:45:29.000Z,gila dah keluarkan dari kandang harimau suruh hantar campak ke kandang buaya pulak,https://x.com/milIkk4ng/status/1801279736296955972,0,19,241,23900,,-0.08437067,campak_as_throw,True,True,False,True
2,syahir_17,2024-06-13T08:11:57.000Z,Berani sangat ni. Nanti ada kena campak kolam buaya,https://x.com/syahir_17/status/1801165598585688422,0,0,6,5294,,-0.075979024,,True,True,False,True
3,Melati_Hani,2024-06-13T06:54:18.000Z,"Sebenarnya tanggungjawab sediakan makanan, salah satu nafkah suami ke isteri. Tapi socially, semua chores rumah di tolak dekat isteri. Why don’t during weekends buat meal prep sama2 dengan husband. Baju yg dia campak atas lantai tu, u kutip & terus buang dalam tong sampah.",https://x.com/Melati_Hani/status/1801146058711658723,3,38,245,27700,,-0.1255174,campak_as_throw,True,True,False,True
4,dieyanakhj,2024-06-13T03:26:54.000Z,"SJ is really that ""campak dalam hutan pun boleh hidup"" guys in the industry",https://x.com/dieyanakhj/status/1801093864679457226,0,5,4,767,,0.009287506,campak_as_throw,False,True,False,False
5,yeevil666,2024-06-12T05:40:45.000Z,Tgk cara dia campak bunga pun tau the King is back,https://x.com/yeevil666/status/1800765161495838995,0,0,3,138,,-0.029266357,,True,True,True,False
6,NorizaLokman,2024-06-12T05:29:20.000Z,Dia campak bunga and kitrg terus gelak. Yes Jin kita,https://x.com/NorizaLokman/status/1800762285264449612,1,0,2,209,,-0.1325808,,True,True,False,True
7,btrsyiasya,2024-06-12T02:05:15.000Z,"Orang baik macamni lah, campak dekat mana2 pun makin cantik",https://x.com/btrsyiasya/status/1800710927375126764,2,0,2,226,,-0.13302258,,True,True,False,True
8,MohdHazwannnn,2024-06-10T11:00:34.000Z,Aku ada soft spot kalau tengok budak-budak kecik main bola. Lagi-lagi bola dah lunyai. Aku bukak bonet campak sebijik bola.,https://x.com/MohdHazwannnn/status/1800120869962047886,1,1,3,201,,-0.09357746,,True,True,False,True
9,gajuspedas,2024-06-10T10:19:27.000Z,Sama jenis dgn yg campak awek siam dia dr condo aritu la ni.. semoga ada bukti,https://x.com/gajuspedas/status/1800110521913667591,0,0,2,897,,0.01224643,,False,True,False,False
10,daladom_ms,2024-06-09T12:27:01.000Z,"Asal pulak? Diaorg tu kena campak sana, kita stay sini.",https://x.com/daladom_ms/status/1799780235711529136,1,0,49,12900,,-0.19315453,,False,True,False,False
11,md_zuwairi,2024-06-08T15:52:30.000Z,"bagitau adik beradik,sedara mara,kawan2,jiran2 kamu jauhi ISRAEL PN,tolak jauh2 ZIONIS PAS dan campak keluar YAHUDI BERSATU ramai2.",https://x.com/md_zuwairi/status/1799469559872938405,0,0,2,65,,-0.052562043,,True,True,False,True
12,allebarraalleb,2024-06-08T14:57:30.000Z,Kunlavut dan kodai ni patut smua match letak last skali. Jenis main rally suka sidai fans ni elok lah campak letak hujung event. Sorry sbb geram.  #IndonesiaOpen2024,https://x.com/allebarraalleb/status/1799455720347422738,1,0,4,576,,-0.15084028,,True,True,False,True
13,rosli_ramlah,2024-06-08T01:27:55.000Z,"Manusia kurang ajar macam nie patut dibuang kerakyataan dn campak dia klr dri Msia,x thu menghormati raja2 dn prinsip Rukun Negara..",https://x.com/rosli_ramlah/status/1799251980420002136,1,1,2,26,,-0.042415738,,True,True,False,True
14,Neykann,2024-06-07T19:36:31.000Z,Masuk dia dalam guni campak balik bior dia rasa apa kucing tu rasa . Kanina punya bodoh,https://x.com/Neykann/status/1799163548171641046,0,0,0,31,,-0.24264967,,True,True,False,True
15,tattyhassan,2024-06-06T12:41:54.000Z,"Teringat masa umur i 10 tahun, jumpa a bag of kittens dalam guni, orang naik motor campak gitu je dekat jalan kecik tepi rumah i. Tengah siram pokok nampak guni gerak gerak meow meow. Manusia gila.",https://x.com/tattyhassan/status/1798696817598894184,0,120,256,38,,-0.11752861,,True,True,False,True
16,Enginena,2024-06-06T11:47:42.000Z,Yelah patut campak bag tu dulu.,https://x.com/Enginena/status/1798683177265025478,2,0,6,9877,,-0.22616167,,True,True,False,True
17,La_FarEast,2024-06-06T07:18:52.000Z,Bersatu dah kena campak bawah MRT  ke?   Awat x pakai logo PN?   Kah3 https://x.com/naszkeem/statu/naszkeem/status/1798517124065063035…,https://x.com/La_FarEast/status/1798615524412379236,4,6,9,685,,-0.04434526,,True,True,False,True
18,nabhanrpcom,2024-06-11T19:46:42.000Z,"Iya, dan segala sesuatu yang berkaitan dengan FEAR MORENGING atau PENYEBARAN KETAKUTAN adalah orang-orang berkesadaran rendah. . Menurut David Hawkins, takut berada pada medan energi fear dengan kalibrasi 100. Baik unvax maupun provax keduanya BERKESADARAN RENDAH dan .  . Bukan",https://x.com/nabhanrpcom/status/1800615664199291084,0,1,3,243,,0.07615651,,True,False,False,False
19,syaikhkhalid,2024-06-11T23:24:02.000Z,Lalu buat apa komnas kipi dibuat kalau gak ada efek samping vaksin? kayak vaksin ini cairan dari surga saja. Berpikirlah lebih cerdas jangan bersikap khianat seperti itu,https://x.com/syaikhkhalid/status/1800670356224737530,0,0,8,417,,0.13601735,,True,True,True,False
20,inorii_yuzuriha,2024-06-13T15:18:52.000Z,"Apa guna nakes dan SOP sebelum tindakan imunisasi anak? Apa perlu anak tes darah lengkap dulu, mri, ct scan sebelum vaksin?  Mana yg lebih paham menilai anak sehat siap menerima vaksin ortu atau nakes?",https://x.com/inorii_yuzuriha/status/1801273034508206318,0,2,4,317,,0.13023368,,True,True,True,False
21,jandakembang78,2024-06-12T06:44:01.000Z,Saya ga pernah bosan himbau para ortu agar tdk imunisasi anak bayi mereka.,https://x.com/jandakembang78/status/1800781083870728693,0,1,7,446,,0.17584357,,True,True,True,False
22,mr_adityason,2024-06-14T02:54:48.000Z,"Bukan nggak berempati, tp di awal kronologisnya gmn, apakah si ortu sdh menolak vaksin. Jangan di awal masa bodo, begitu kipi teriak2 minta dikawal. Bukan nggak mau nolong, tp tolong mindsetnya dibenerin dulu.",https://x.com/mr_adityason/status/1801448175255097566,1,0,2,58,,0.1362555,,True,True,True,False
23,analaranita4,2024-06-12T04:17:19.000Z,Rubella marina jajaja  JULIAN GANADOR  #ElAmorEsUniversal #LaCasaDeLosFamososCol,https://x.com/analaranita4/status/1800744164084363499,0,1,2,307,,0.08004898,,False,True,False,False
24,F83057308,2024-06-29T16:14:26.000Z,"Citer pasal pak pandir, teringat aku 1 lagu   Ada mata pandang Ada telinga dengar Ada mulut diam Ada tangan garu Ada kaki goyang. Oh puji lah aku Ampu lah aku Senang hidupmu Ada tangan tadah Ada maruah campak..  Deep lirik lagu ni...",https://x.com/F83057308/status/1807085227552252096,0,1,6,725,,-0.012312129,,True,True,True,False
25,hanifzulkifli_,2024-06-29T16:13:24.000Z,engko ni kalau campak buat outdoor dalam hospital pun boleh buat zu  lawooo,https://x.com/hanifzulkifli_/status/1807084966796480952,1,0,1,59,,-0.028871506,,False,True,False,False
26,hvnnaaaaa,2024-06-29T06:19:50.000Z,JAUHNYA UITM CAMPAK WEHHH,https://x.com/hvnnaaaaa/status/1806935589339680881,1,0,4,539,,-0.06767219,,False,True,False,False
27,chocrim,2024-06-29T06:15:35.000Z,SAPA KENA CAMPAK DEKAT UITM MACHANG  #SPM2023,https://x.com/chocrim/status/1806934520894992682,8,1,5,5440,,0.010471344,,False,True,False,False
28,iqabluu_,2024-06-28T16:59:03.000Z,Memang trend lighstick sekarang ni sekadar a big globe pastu campak emblem logo group kosong macam tu ja ka,https://x.com/iqabluu_/status/1806734067041480803,0,1,8,181,,-0.113040596,,False,True,False,False
29,HermyRahim,2024-06-27T09:21:38.000Z,*Campak tulang,https://x.com/HermyRahim/status/1806256566196425083,2,181,245,26600,,0.06531221,,True,True,True,False
30,iAMazmar,2024-06-26T17:53:24.000Z,Menyampah tgk.. rindu zaman jibby la apa la . Si Ulaq tu pun campak Jibby bawah bus lepas tu hahaha,https://x.com/iAMazmar/status/1806022968499487064,0,0,1,25,,-0.13304873,,True,True,False,True
31,hafizadam,2024-06-26T13:38:00.000Z,"solid first two episodes. two scheming persons balik ke zaman lampau, makanya bolehlah campak luar buku sejarah sebab dua-dua dah tahu gelanggang permainan masing-masing #ThePrincessRoyal tapi ZhaoJinmai ni serius rupa macam VickyZhao Jr haha",https://x.com/hafizadam/status/1805958696331088105,1,0,3,383,,-0.089777865,,True,True,False,True
32,Hiyalitulaknat,2024-06-26T08:49:38.000Z,"Solusi sebenar: Hapuskan riba.  Bukan bagi carrot lah bagi stick la. Kecelakaan hari ini berpunca dari riba, solusinya ialah hapuskan riba dan hiyal sial campak kelapa sawit berlakon jual beli demi riba terlaknat.",https://x.com/Hiyalitulaknat/status/1805886123853627557,0,2,2,411,,-0.131224,,True,True,False,True
33,nrlsyfazhar,2024-06-25T12:35:40.000Z,genius! pasni pengasuh boleh bagi baby main handphone pula nanti baby campak rosak boleh claim dekat mak dia minta ganti phone baru,https://x.com/nrlsyfazhar/status/1805580620804112691,1,0,4,231,,0.10015231,,True,True,True,False
34,meeayusri,2024-06-25T02:42:38.000Z,"Jd, penyelesaian nya campak kucing ke?",https://x.com/meeayusri/status/1805431379393667417,1,3,5,286,,-0.21130049,campak_as_throw_object,True,True,False,True
35,izztlnajhh,2024-06-24T23:31:26.000Z,Sksksksksk campak campak pun lagi lawa yat dari design sebenar. Siot baju kssu dulu pun lagi lawa cibek dari tu,https://x.com/izztlnajhh/status/1805383261566517584,0,0,6,2375,,-0.1050044,,True,True,False,True
36,rahmaniarbaftim,2024-06-23T12:53:54.000Z,"Teh Lia, itu penyakit campak, diawali dengan demam kan? Begitu demamnya hilang campaknya baru keluar semua biasanya.",https://x.com/rahmaniarbaftim/status/1804860434681565655,1,0,2,69,,0.10784933,,True,True,True,False
37,kachingyours,2024-06-23T12:24:54.000Z,rasa nk campak sekor2 exo masuk gua hahah geram,https://x.com/kachingyours/status/1804853133216206952,1,0,3,128,,-0.18522054,,True,True,False,True
38,ysmnezahari,2024-06-22T15:02:44.000Z,"Salam, saya dapat rasa air yang junghwan campak twice  #rebootinKL #TREASURE_REBOOT_IN_KL",https://x.com/ysmnezahari/status/1804530465644347888,0,0,1,128,,-0.13852695,,True,True,False,True
39,puterae1,2024-06-22T14:05:09.000Z,"Orang lain haram dia halal. Houlier than thou , ular paling bangsat, patut kena campak dengan umno",https://x.com/puterae1/status/1804515976270196787,1,0,6,251,,-0.13091482,,True,True,False,True
40,eeyiu,2024-06-22T08:30:21.000Z,Daun dia kan kalau campak dalam akuarium auto pregnant udang. Dia cam viagra untuk haiwan sungai #real,https://x.com/eeyiu/status/1804431720000696396,2,0,1,109,,-0.13983862,campak_as_throw,True,True,False,True
41,wasabi1388,2024-06-22T02:35:33.000Z,6 pengkhianat undi rakyat tu patut di kubur sbg mp & di campak keluar dr dewan rakyat!!!,https://x.com/wasabi1388/status/1804342431921639888,0,0,2,234,,-0.060449913,,True,True,False,True
42,KyaryHime,2024-06-22T02:23:49.000Z,Bertih halus. Campak kasar.,https://x.com/KyaryHime/status/1804339478196293732,1,0,2,20,,-0.060713023,,True,True,False,True
43,binblancos,2024-06-21T17:30:56.000Z,Campak ke tong sampah kalau starting XI Real Madrid musim depan gaada Valverde-nya.,https://x.com/binblancos/status/1804205373974548719,0,0,5,286,,-0.13261853,campak_as_throw,True,True,False,True
44,takdaknamadah,2024-06-20T10:29:20.000Z,Thank you doktor. Selalu guna istilah chickenpox bila ada yg demam campak. But sometimes lidah buat hal jd chickenpork.,https://x.com/takdaknamadah/status/1803736886890078243,0,0,2,1354,,0.005233109,,True,True,True,False
45,AKUANAKWATAN,2024-06-20T09:24:54.000Z,"Sombong angkuhnya manusia yg ada kuasa tapi curang , sedangkan batu pun terbakar jika terjatuh ke dalam larva gunung berapi , bayangkan manusia kufur di campak ke dalam api neraka ?",https://x.com/AKUANAKWATAN/status/1803720672855912874,0,2,5,127,,-0.022508651,campak_as_throw,True,True,False,True
46,iejaH0sh1s,2024-06-20T03:08:16.000Z,Campak belakang #BMday #Checkthisout #BabyMonster #Baemon #SG,https://x.com/iejaH0sh1s/status/1803625891672760547,1,1,16,789,,-0.085063934,,False,True,False,False
47,ef_hash,2024-06-20T02:37:30.000Z,“Ramai perempuan dekat neraka”  Gi la campak bini & mak ko dulu shssnshshnssshhs,https://x.com/ef_hash/status/1803618146424856875,1,0,3,52,,-0.096069664,,False,True,False,False
48,malaygentleman,2024-06-19T14:25:27.000Z,First time gi tolong tumbang korban kot sebab tu agaknya excited nak gak tangkap gambar tunjuk terpaling. Entahlah tak faham delusional budak2 sekarang ni tegur sikit dah sensitif nak dia gak terpaling agama. Ni semua dulu kena campak kat tahfiz takda tauliah ke?,https://x.com/malaygentleman/status/1803433920672965102,2,42,312,23800,,-0.07253444,campak_as_throw,True,True,False,True
49,Syeikhleebit,2024-06-26T18:20:20.000Z,"Debat dengan perokok + anti vaksin = bikin gila. Berasa lagi nasehatin pemain judol buat berhenti  Ada aja jawabannya, bukannya intropeksi diri, malah playing victim dan nyalahin orang lain",https://x.com/Syeikhleebit/status/1806029746461159687,1,0,2,82,,0.036926493,,True,True,True,False
50,tempodotco,2024-06-21T02:37:35.000Z,Parlemen Filipina akan Selidiki Operasi Propaganda Anti-vaksin Cina oleh Pentagon https://dunia.tempo.co/read/1882382/parlemen-filipina-akan-selidiki-operasi-propaganda-anti-vaksin-cina-oleh-pentagon?utm_source=Twitter&utm_medium=dlvr.it… #TempoDunia,https://x.com/tempodotco/status/1803980556767760643,0,1,1,794,,0.013469338,,True,True,True,False
51,piramidamesir_,2024-06-23T14:51:34.000Z,Antivaxx emg kacau sih jalan pikirannya. Dl pernah ada netijen ngajak ribut gw krn gw pro vaksin di thread org yg nanya mau imunisasi anak.,https://x.com/piramidamesir_/status/1804890046149083510,1,0,2,520,,0.13652724,,True,True,True,False
52,tentanganakofc,2024-06-18T04:47:37.000Z,"Vaksin Rp1.000.000-Rp1.500.000  Karena anak BunMin udah 2 tahun, jadi budget ini udah jauh berkurang dari sebelumnya. Pastikan imunisasi anak lengkap ya AyBun agar terhindar dari berbagai penyakit. Catat di Aplikasi Tentang Anak! http://onelink.to/tentanganak",https://x.com/tentanganakofc/status/1802926116757451119,1,1,1,854,,0.10452011,,True,False,False,True
53,dewaputu1970,2024-06-16T22:04:21.000Z,Makanya berhentilah imunisasi anak bayi usia baru lahir sampai 5 th,https://x.com/dewaputu1970/status/1802462242417598756,0,1,3,262,,0.07221687,,True,True,True,False
54,Adventure_36,2024-06-28T14:53:32.000Z,Kipi,https://x.com/Adventure_36/status/1806702478248890611,1,0,2,450,,-0.03354323,,True,False,False,False
55,kusayangpanda15,2024-08-14T01:33:33.000Z,"tp emg scr sistem BPJS ada yg gratis, daftar di puskes. mungkin buat fotcop lah 20 rb.  bisa buat KB, imunisasi anak dll.   sekola ud gratis & ada bantuan BOS (lupa nmnya dah)   sorry bgt gw speak for jkt only krn gw TINGGAL di jkt ya.   dan SMP, SMA gw GRATIS.",https://x.com/kusayangpanda15/status/1823533386495090801,5,0,2,527,,0.06710753,,True,False,False,False
56,antaranews,2024-08-13T11:55:40.000Z,"Kemenkes mengatakan, vaksinasi human papillomavirus (HPV) gratis yang dibagikan di program Bulan Imunisasi Anak Sekolah (BIAS) dipastikan aman dan berkualitas baik.",https://x.com/antaranews/status/1823327558156337612,0,1,0,366,,0.11819929,,True,False,False,True
57,urlavoca,2024-08-10T12:06:26.000Z,"Gw dulu iship di puskesmas gitu kan, nah waktu itu kebetulan ada bulan imunisasi anak sekolah (BIAS). Diajakin lah gw ke sekolah² SD di wilayah kerja puskesmas tsb buat suntik imunisasi.  Pas di SD anak²nya pada takut disuntik, ada yg nangis, ada yg harus kejar-kejaran dulu https://x.com/Pai_C1/status//Pai_C1/status/1822094550350840142…",https://x.com/urlavoca/status/1822243106265182392,6,0,11,6,,0.1685729,,True,False,False,True
58,KemenkesRI,2024-08-09T14:53:20.000Z,Bulan Imunisasi Anak Sekolah (BIAS) sudah tiba   Mau tau pendapat adik-adik soal keseruan imunisasi di sekolah?   Yuk simak cerita mereka!   #BIAS2024,https://x.com/KemenkesRI/status/1821922719266398430,3,4,9,2044,,0.1271505,,True,True,True,False
59,KemenkesRI,2024-08-09T07:26:49.000Z,"Ayo bu guru, pak guru, pastikan anak didik Anda di kelas 1, 2, 5, dan 6 SD/MI/bentuk lain sederajat mendapatkan imunisasi lanjutan di sekolah!    Yuk hubungi atau konsultasikan jadwal Bulan Imunisasi Anak Sekolah (BIAS) dengan Puskesmas terdekat!    #ImunisasiItuBaik",https://x.com/KemenkesRI/status/1821810348405735681,1,1,1,1199,,0.22568685,,True,False,False,True
60,KemenkesRI,2024-08-08T02:34:27.000Z,Halo #Healthies! Program Bulan Imunisasi Anak Sekolah (BIAS) juga merangkul anak-anak diluar sekolah formal  Setiap anak di usia sekolah dasar berhak mendapatkan imunisasi lanjutan untuk mempertahankan kekebalan tubuh,https://x.com/KemenkesRI/status/1821374383686111417,2,3,3,1143,,0.21911377,,True,True,True,False
61,TedInvestigasi,2024-08-04T01:22:21.000Z,"Imunisasi anak lagi ramai karena vaksin Polio yang menyebabkan Polio dan datanya dirahasiakan oleh BPOM dan Kemenkes. Inilah terjemahan buku dengan data dari lebih dari 100 penelitian, data yang disembunyikan dari publik. Ortu: wajib baca https://drive.google.com/file/d/1GuEbuLydxy1fDOcRUhugFjEQ-9-MgL-0/view?usp=sharing…",https://x.com/TedInvestigasi/status/1819906688742486357,4,91,124,3538,,0.13203537,,True,False,False,True
62,KemenkesRI,2024-08-03T01:00:00.000Z,"Ayah, Bunda, yuk bersama sukseskan Bulan Imunisasi Anak Sekolah (BIAS)!  Cek jadwal imunisasi dari sekolah atau Fasilitas Pelayanan Kesehatan terdekat  Pastikan anak, adik, keponakan atau cucu kita mendapatkan perlindungan yang dibutuhkan  #ImunisasiItuBaik #ImunisasiItuPasti",https://x.com/KemenkesRI/status/1819538676201766966,4,7,7,2290,,0.17611524,,True,True,True,False
63,KemenkesRI,2024-08-01T12:46:05.000Z,"Hai #Healthies!   Bulan Imunisasi Anak Sekolah (BIAS) telah tiba   Yuk simak jadwal BIAS untuk anak usia sekolah kelas 1, 2, 5, dan 6 SD/MI/bentuk lain atau sederajat disini    Imunisasi adalah hak setiap anak, jadi jangan sampai terlewat ya!",https://x.com/KemenkesRI/status/1818991594063958468,5,6,14,4833,,0.15479895,,True,True,True,False
64,KemenkesRI,2024-08-01T08:56:23.000Z,"Halo #Healthies! Saatnya Bulan Imunisasi Anak Sekolah (BIAS)!   Untuk menjaga kesehatan & melindungi anak dari berbagai penyakit menular, setiap anak dianjurkan mendapat imunisasi lanjutan pd usia sekolah  Dengan mengikuti BIAS, kita berperan menciptakan lingkungan yg sehat",https://x.com/KemenkesRI/status/1818933787482636351,2,0,1,1528,,0.19216347,,True,True,True,False
65,KemenkesRI,2024-08-01T08:44:52.000Z,"Agustus   Awal bulan kemerdekaan  Awal Bulan Imunisasi Anak Sekolah (BIAS)  Awal Pekan ASI Sedunia   Yup, setiap minggu pertama bulan Agustus diperingati sebagai “Pekan ASI Sedunia”  Tema global PAS 2024 adalah “Closing the gap: Breastfeeding support for all”",https://x.com/KemenkesRI/status/1818930888635564095,1,1,2,1714,,0.16272968,,True,True,True,False
66,Kingkrishie,2024-08-01T03:14:00.000Z,Selamat Bulan Imunisasi Anak Sekolah!,https://x.com/Kingkrishie/status/1818847623652295151,0,0,6,299,,0.13445488,,True,True,True,False
67,BBCIndonesia,2024-08-12T10:37:22.000Z,Tidak sampai di situ. Sejumlah persoalan yang dulu dianggap sebagai faktor penyebab meledaknya kasus gizi buruk dan wabah campak masih kami jumpai. https://bbc.com/indonesia/articles/ck7gpj440y3o…,https://x.com/BBCIndonesia/status/1822945465408930010,1,2,3,602,,0.28860173,,True,True,True,False
68,BBCIndonesia,2024-08-12T10:37:18.000Z,"Wartawan BBC News Indonesia menyusuri sungai untuk pergi ke Kampung As-Atat, di mana laporan resmi pemerintah Indonesia mencatat ada 37 orang di kampung itu yang meninggal akibat wabah campak dan gizi buruk pada 2018. https://bbc.com/indonesia/articles/ck7gpj440y3o…",https://x.com/BBCIndonesia/status/1822945451097919923,1,2,6,916,,0.10237172,,True,True,True,False
69,BBCIndonesia,2024-08-12T10:37:17.000Z,"2018: Gizi buruk dan wabah campak di pedalaman Asmat, Papua menewaskan 75 orang.   2021: Bantuan perbaikan gizi 'Anak Asli Papua' dihapus demi biayai infrastruktur PON Papua.  Sekarang, bagaimana kondisi di Asmat?  Simak liputan mendalam kami.   Utas  https://bbc.com/indonesia/articles/ck7gpj440y3o…",https://x.com/BBCIndonesia/status/1822945447239119252,25,238,316,62400,,0.14696085,,True,True,True,False
70,BBCIndonesia,2024-08-08T07:56:33.000Z,Masalah kesehatan ibu dan anak Orang Asli Papua di Asmat tidak dapat dilepaskan pada ketersediaan dan jangkauan layanan kesehatan.   Namun persoalan sosial budaya masyarakat di pedalaman Asmat juga dianggap sebagai tantangan.   Bagaimana pendekatan yang ideal supaya kasus wabah,https://x.com/BBCIndonesia/status/1821455442595430591,0,28,47,27600,,0.23633355,,True,False,False,True
71,jmcrookston,2024-08-14T14:50:54.000Z,Rubella too,https://x.com/jmcrookston/status/1823734045202899440,1,0,7,98,,0.13283862,,True,True,True,False
72,brianfinks69,2024-08-12T22:49:53.000Z,RUBELLA BALLET,https://x.com/brianfinks69/status/1823129808211239109,0,0,2,55,,0.16654344,,True,True,True,False
73,akmalnasir,2024-08-30T07:44:15.000Z,Jgn campak jauh2,https://x.com/akmalnasir/status/1829424882649837908,0,0,1,918,,-0.19444749,,False,True,False,False
74,awan_conteng,2024-08-29T01:44:43.000Z,Campak bintang tu best,https://x.com/awan_conteng/status/1828972012351697001,0,0,3,262,,-0.07841741,,True,True,False,True
75,UMonline,2024-08-29T00:00:10.000Z,‘Dia campak skrip keluar tingkap’ https://utusan.com.my/nasional/2024/08/dia-campak-skrip-keluar-tingkap/?utm_source=dlvr.it&utm_medium=twitter&utm_campaign=umonline… #BERITA #NASIONAL #TERKINI #artis,https://x.com/UMonline/status/1828945702778744927,0,0,0,393,,-0.050692514,,False,True,False,False
76,fzxaz_,2024-08-28T13:40:53.000Z,Ce try campak dia dalam lubang tu,https://x.com/fzxaz_/status/1828789854626521368,0,0,2,1348,,-0.14283349,,True,True,False,True
77,UMonline,2024-08-28T12:03:04.000Z,Wabak campak menular di selatan Vietnam https://utusan.com.my/berita/2024/08/wabak-campak-menular-di-selatan-vietnam/?utm_source=dlvr.it&utm_medium=twitter&utm_campaign=umonline… #AsiaTenggara #BERITA #LUARNEGARA #TERKINI #top,https://x.com/UMonline/status/1828765240579768610,0,0,0,355,,0.10619196,,False,True,False,False
78,rnambiar24,2024-08-28T11:58:17.000Z,Campak dia dlm lubang tu..menyemak la org tua ni..x hormat perasaan org lain langsung,https://x.com/rnambiar24/status/1828764034851545392,0,0,6,250,,-0.053628966,,True,True,False,True
79,why_Maq,2024-08-28T11:53:52.000Z,Tolong campak dia bawah tu,https://x.com/why_Maq/status/1828762923637858794,2,47,335,21100,,-0.24101219,,True,True,False,True
80,DS_yantie,2024-08-28T02:03:53.000Z,"Lucu, dia kan bukan kader kok merasa di campak kan",https://x.com/DS_yantie/status/1828614451354050874,10,0,15,5118,,-0.037452027,,True,True,False,True
81,TokPerak8,2024-08-27T23:43:38.000Z,Macam tu saja Yanie campak @Ratu_Naga Khinzir bawah bas kahkahkah  Lengan besar dari peha  Ouchhh,https://x.com/TokPerak8/status/1828579156281696680,1,3,50,2,,-0.0634757,,True,True,False,True
82,Keburungan,2024-08-26T23:38:52.000Z,Campak balik sampah bletak brlakang kete dia. Geram pulak tgk. Dh tua tp bodoh.,https://x.com/Keburungan/status/1828215567117099257,0,0,2,791,,-0.1923051,,True,True,False,True
83,apis_ep,2024-08-26T15:47:53.000Z,Campak balik sampah tu dlm kreta dia,https://x.com/apis_ep/status/1828097041609941101,1,0,9,1894,,-0.27130485,,True,True,False,True
84,ChomBieTanjung,2024-08-25T02:27:56.000Z,Perghh ini favorite Chomb. Mmg mabeles  ada campak nenas ka terung?,https://x.com/ChomBieTanjung/status/1827533339437494757,1,0,2,44,,-0.0071401447,,True,True,True,False
85,laylamajusi,2024-08-23T14:17:38.000Z,"setiap kali orang tulis ""X ( formerly twitter )"", itu maknanya rebranding muskie gagal.   twitter dah elok2 ada brand yang kuat ( siap ada lexicon tersendiri; ""tweet"", ""tweep"", ""RT"" etc ), dia campak buang for something generic like X",https://x.com/laylamajusi/status/1826987165298880949,1,2,5,221,,-0.04558848,,True,True,False,True
86,jaffarikahfi,2024-08-23T11:26:05.000Z,"AG ni patut diterajang keluar. Aku suspicious dgn AG ni. Tengok kes2 3R din tompok dgn lebai hadi, semua campak bawah karpet.",https://x.com/jaffarikahfi/status/1826943992371761533,0,0,2,155,,-0.16491328,,True,True,False,True
87,LagaCawan,2024-08-23T11:17:30.000Z,"Lagacawan tidak pernah dibayar atau berkerja dengan mana-mana menteri atau ahli politik.  Jika ada yang panjat pejabat menteri kata dia wakil lagacawan, boleh campak dan pijak proposal dia.  Boleh juga DM kami untuk pengesahan",https://x.com/LagaCawan/status/1826941834557628645,3,9,25,1522,,-0.12792994,,True,True,False,True
88,SINDOnews,2024-08-23T01:12:07.000Z,Perbedaan Gejala Cacar Monyet dengan Cacar Air dan Campak http://dlvr.it/TCG7cd,https://x.com/SINDOnews/status/1826789481162441023,1,0,2,330,,0.16917413,,True,True,True,False
89,mohd_khairel,2024-08-22T17:20:53.000Z,"spesis cengini jika dizaman atok nenek kita,memang awal² dah kena campak dok 'pulau'...kann.  #GengPencarikBesiLongkang a.k.a Probono",https://x.com/mohd_khairel/status/1826670894506541560,0,0,2,513,,-0.00059074163,,True,True,True,False
90,md_zuwairi,2024-08-22T07:38:45.000Z,kalau aku aku campak terus ke dinding biar berkecai JARGON,https://x.com/md_zuwairi/status/1826524396535906595,0,0,5,307,,-0.22243376,,True,True,False,True
91,Amrlmikal,2024-08-21T15:24:05.000Z,Sapa yang kemas beg? Campak ja,https://x.com/Amrlmikal/status/1826279113134580145,1,0,5,1014,,-0.09907122,,True,True,False,True
92,tempodotco,2024-08-21T14:38:33.000Z,Bedanya Mpox dengan Cacar Air hingga Campak https://gaya.tempo.co/read/1906796/bedanya-mpox-dengan-cacar-air-hingga-campak?utm_source=Twitter&utm_medium=dlvr.it… #TempoGaya,https://x.com/tempodotco/status/1826267652144218298,0,2,2,3204,,-0.005125463,,True,True,True,False
93,s4h4b4tl4m4,2024-08-21T10:46:26.000Z,"Buat kamu yang abis liburan sebelum nya udah blom di vaksin campak  Takutnya klo belom, baru datang langsung di campakakan  Cieeee pengalaman  banget",https://x.com/s4h4b4tl4m4/status/1826209239674896868,1,0,3,159,,0.06079927,,True,True,True,False
94,hayeorieee,2024-08-21T06:45:04.000Z,aku rasa macam aku yang handle fanproject haritu tapi mana aku campak handbanner aku siot hshhshshs barai la,https://x.com/hayeorieee/status/1826148495918760066,1,1,2,1393,,-0.10753147,,True,True,False,True
95,jerengginang,2024-08-21T04:19:19.000Z,"Aku blm pernah kena cacar seumur hidup, skrng udh 26thn, aku lupa dulu pas sd pernah vaksin cacar apa blm tp vaksin campak pernah, apakah harus vaksin cacar skrng? jujur takut bgtt",https://x.com/jerengginang/status/1826111818236055785,3,1,4,8533,,0.08499321,,True,True,True,False
96,AfiqMdHanif,2024-08-20T15:49:56.000Z,"Org dah jadi PM pun. Muhyiddin selamanya PM tepi. Anyway, kena campak bawah bas ke tuuuuu",https://x.com/AfiqMdHanif/status/1825923228315037951,0,1,13,1938,,-0.1737656,,True,True,False,True
